age;marital;education;default;balance;housing;loan;contact;poutcome;class
33;married;tertiary;no;882;no;no;telephone;failure;no
42;single;secondary;no;-247;yes;yes;telephone;other;yes
33;married;secondary;no;3444;yes;no;telephone;failure;yes
36;married;tertiary;no;2415;yes;no;telephone;other;no
36;married;tertiary;no;0;yes;no;telephone;failure;yes
44;married;secondary;no;1324;yes;no;telephone;other;no
26;single;tertiary;no;172;no;yes;telephone;other;no
51;single;secondary;no;3132;no;no;telephone;failure;no
33;divorced;secondary;no;1005;yes;no;telephone;failure;no
30;married;secondary;no;873;yes;no;telephone;success;no
30;single;tertiary;no;1243;yes;no;telephone;failure;no
44;married;tertiary;no;1631;yes;no;cellular;failure;no
51;divorced;tertiary;no;119;no;no;cellular;failure;no
51;married;secondary;no;58;yes;no;cellular;failure;no
44;married;tertiary;no;6203;yes;yes;cellular;failure;no
34;single;secondary;no;105;yes;no;cellular;failure;no
49;married;tertiary;no;1533;no;no;cellular;failure;no
47;married;tertiary;no;228;yes;no;cellular;failure;no
40;single;secondary;no;1623;yes;no;cellular;failure;no
47;married;secondary;no;1484;no;no;cellular;failure;no
38;married;tertiary;no;494;no;no;cellular;other;no
54;single;secondary;no;198;yes;yes;cellular;failure;no
52;married;tertiary;no;1701;yes;yes;cellular;other;no
48;divorced;secondary;no;295;yes;no;cellular;success;no
45;married;secondary;no;1477;yes;no;cellular;failure;no
39;married;secondary;no;401;yes;no;cellular;failure;no
39;married;primary;no;3324;no;no;cellular;failure;no
37;married;tertiary;yes;0;no;no;cellular;failure;no
49;married;tertiary;no;64;no;no;cellular;success;no
43;married;secondary;no;1865;yes;no;cellular;failure;no
35;divorced;tertiary;no;1718;yes;yes;cellular;other;no
50;married;secondary;no;633;no;yes;telephone;failure;no
42;single;tertiary;no;35;yes;yes;cellular;other;no
56;married;secondary;no;2749;yes;yes;cellular;failure;no
51;married;tertiary;no;209;no;no;cellular;failure;no
50;single;secondary;no;246;yes;no;cellular;failure;no
45;married;secondary;no;1415;yes;no;cellular;failure;no
40;divorced;secondary;no;5766;yes;yes;cellular;failure;no
30;married;tertiary;no;101;yes;no;cellular;failure;no
39;married;tertiary;no;500;yes;no;cellular;other;no
36;married;tertiary;no;5057;yes;no;cellular;failure;no
34;married;tertiary;no;1265;yes;no;cellular;failure;no
59;married;tertiary;no;0;no;no;cellular;failure;no
53;married;secondary;no;1364;no;no;cellular;failure;no
46;single;tertiary;no;46;no;yes;cellular;failure;no
52;married;secondary;no;5423;no;yes;cellular;failure;no
56;divorced;secondary;no;689;yes;no;cellular;failure;no
34;single;secondary;no;0;yes;no;cellular;failure;no
32;single;secondary;no;4344;yes;no;cellular;failure;no
59;divorced;secondary;no;514;yes;no;cellular;other;no
59;married;primary;no;252;yes;yes;cellular;failure;no
40;married;secondary;no;0;yes;no;cellular;failure;no
43;divorced;secondary;no;-36;yes;no;cellular;failure;no
43;married;secondary;no;0;no;yes;cellular;failure;no
55;divorced;tertiary;no;1730;no;no;cellular;failure;no
49;married;secondary;no;202;yes;no;cellular;failure;yes
