age,balance,class,marital_married,marital_single,education_secondary,education_tertiary,default_yes,housing_yes,loan_yes,contact_telephone,poutcome_other,poutcome_success
33,882,no,True,False,False,True,False,False,False,True,False,False
42,-247,yes,False,True,True,False,False,True,True,True,True,False
33,3444,yes,True,False,True,False,False,True,False,True,False,False
36,2415,no,True,False,False,True,False,True,False,True,True,False
36,0,yes,True,False,False,True,False,True,False,True,False,False
44,1324,no,True,False,True,False,False,True,False,True,True,False
26,172,no,False,True,False,True,False,False,True,True,True,False
51,3132,no,False,True,True,False,False,False,False,True,False,False
33,1005,no,False,False,True,False,False,True,False,True,False,False
30,873,no,True,False,True,False,False,True,False,True,False,True
30,1243,no,False,True,False,True,False,True,False,True,False,False
44,1631,no,True,False,False,True,False,True,False,False,False,False
51,119,no,False,False,False,True,False,False,False,False,False,False
51,58,no,True,False,True,False,False,True,False,False,False,False
44,6203,no,True,False,False,True,False,True,True,False,False,False
34,105,no,False,True,True,False,False,True,False,False,False,False
49,1533,no,True,False,False,True,False,False,False,False,False,False
47,228,no,True,False,False,True,False,True,False,False,False,False
40,1623,no,False,True,True,False,False,True,False,False,False,False
47,1484,no,True,False,True,False,False,False,False,False,False,False
38,494,no,True,False,False,True,False,False,False,False,True,False
54,198,no,False,True,True,False,False,True,True,False,False,False
52,1701,no,True,False,False,True,False,True,True,False,True,False
48,295,no,False,False,True,False,False,True,False,False,False,True
45,1477,no,True,False,True,False,False,True,False,False,False,False
39,401,no,True,False,True,False,False,True,False,False,False,False
39,3324,no,True,False,False,False,False,False,False,False,False,False
37,0,no,True,False,False,True,True,False,False,False,False,False
49,64,no,True,False,False,True,False,False,False,False,False,True
43,1865,no,True,False,True,False,False,True,False,False,False,False
35,1718,no,False,False,False,True,False,True,True,False,True,False
50,633,no,True,False,True,False,False,False,True,True,False,False
42,35,no,False,True,False,True,False,True,True,False,True,False
56,2749,no,True,False,True,False,False,True,True,False,False,False
51,209,no,True,False,False,True,False,False,False,False,False,False
50,246,no,False,True,True,False,False,True,False,False,False,False
45,1415,no,True,False,True,False,False,True,False,False,False,False
40,5766,no,False,False,True,False,False,True,True,False,False,False
30,101,no,True,False,False,True,False,True,False,False,False,False
39,500,no,True,False,False,True,False,True,False,False,True,False
36,5057,no,True,False,False,True,False,True,False,False,False,False
34,1265,no,True,False,False,True,False,True,False,False,False,False
59,0,no,True,False,False,True,False,False,False,False,False,False
53,1364,no,True,False,True,False,False,False,False,False,False,False
46,46,no,False,True,False,True,False,False,True,False,False,False
52,5423,no,True,False,True,False,False,False,True,False,False,False
56,689,no,False,False,True,False,False,True,False,False,False,False
34,0,no,False,True,True,False,False,True,False,False,False,False
32,4344,no,False,True,True,False,False,True,False,False,False,False
59,514,no,False,False,True,False,False,True,False,False,True,False
59,252,no,True,False,False,False,False,True,True,False,False,False
40,0,no,True,False,True,False,False,True,False,False,False,False
43,-36,no,False,False,True,False,False,True,False,False,False,False
43,0,no,True,False,True,False,False,False,True,False,False,False
55,1730,no,False,False,False,True,False,False,False,False,False,False
49,202,yes,True,False,True,False,False,True,False,False,False,False
49,313,no,True,False,False,True,False,True,False,False,False,False
39,419,no,False,True,False,False,False,True,False,False,False,False
42,14282,no,True,False,False,True,False,True,False,False,False,True
56,1270,no,True,False,True,False,False,True,False,False,True,False
44,4826,no,True,False,True,False,False,True,False,False,True,False
42,1048,no,True,False,True,False,False,True,False,False,False,False
41,112,no,True,False,True,False,False,True,False,False,False,False
51,563,no,True,False,True,False,False,True,False,False,False,False
36,1797,no,True,False,True,False,False,True,True,False,False,False
52,3440,no,True,False,False,True,False,True,False,False,False,False
42,373,no,True,False,False,True,False,False,False,False,False,False
45,2020,no,True,False,True,False,False,True,False,False,False,False
35,24,no,True,False,True,False,False,True,False,False,False,False
38,425,no,True,False,False,True,False,True,False,False,False,False
47,80,no,True,False,True,False,False,False,True,False,False,False
43,634,no,True,False,True,False,False,True,False,False,False,False
33,0,no,True,False,True,False,False,True,False,False,True,False
40,677,no,False,True,True,False,False,True,False,False,True,False
54,899,no,True,False,True,False,False,False,True,False,True,False
50,830,no,True,False,False,True,False,False,False,False,False,False
54,2719,no,True,False,True,False,False,True,False,False,False,False
44,0,no,True,False,True,False,False,True,False,False,False,False
43,-259,no,False,False,True,False,False,False,False,False,True,False
51,248,no,True,False,False,True,False,True,True,False,False,False
51,12061,no,True,False,True,False,False,True,False,False,False,False
42,-15,no,False,True,True,False,False,False,False,False,False,False
46,0,no,False,False,True,False,False,False,False,False,False,True
50,4,no,True,False,False,True,False,False,False,False,False,False
58,3111,no,False,False,True,False,False,True,False,False,False,False
44,1451,no,True,False,False,True,False,True,False,False,False,False
41,557,no,True,False,False,False,False,True,False,False,False,False
37,600,no,False,True,False,True,False,True,False,False,False,False
53,350,no,True,False,True,False,False,False,True,False,False,False
53,248,no,True,False,True,False,False,False,True,False,False,False
52,1818,no,True,False,True,False,False,False,True,False,False,False
36,3837,no,False,False,False,True,False,True,False,False,False,True
37,0,no,True,False,False,True,False,True,False,False,False,False
44,58,no,True,False,False,True,False,True,False,False,False,False
59,3552,no,False,False,False,True,False,True,False,False,True,False
32,0,no,True,False,True,False,False,True,True,False,False,False
41,20,no,True,False,False,True,False,True,False,False,False,False
37,-954,no,True,False,True,False,True,True,False,False,False,False
43,0,no,True,False,False,False,False,False,True,False,False,False
51,230,no,True,False,False,False,False,True,False,False,False,False
56,505,no,True,False,False,True,False,True,True,False,False,False
44,3843,no,True,False,True,False,False,True,False,False,True,False
56,109,no,False,True,False,False,False,False,True,True,True,False
39,5,no,True,False,False,True,False,True,False,False,True,False
38,821,no,True,False,True,False,False,True,True,False,False,False
42,275,no,True,False,False,False,False,False,False,False,False,False
34,1049,no,False,True,False,True,False,True,False,False,False,False
38,0,no,True,False,False,False,False,True,False,False,False,False
53,2269,yes,True,False,False,True,False,False,False,False,False,True
41,271,no,True,False,True,False,False,True,False,False,False,False
48,-478,no,False,False,False,True,False,True,False,False,False,False
54,3795,no,True,False,False,True,False,True,True,False,False,False
55,653,no,True,False,True,False,False,True,False,False,False,False
38,1255,no,False,True,True,False,False,True,False,False,False,False
50,-403,no,False,False,True,False,False,False,True,False,False,False
42,2636,no,True,False,False,False,False,False,False,False,False,False
40,1029,no,True,False,True,False,False,True,True,False,False,False
38,0,no,True,False,True,False,False,False,False,True,True,False
57,1502,no,True,False,True,False,False,False,False,True,False,False
30,426,no,False,True,True,False,False,True,False,True,False,False
56,237,no,False,True,True,False,False,True,False,True,False,False
39,8,no,True,False,True,False,False,False,True,False,False,False
43,1043,no,False,False,True,False,False,True,False,False,False,False
42,1027,no,True,False,True,False,False,True,False,True,False,False
44,724,no,True,False,False,True,False,True,False,False,False,False
36,0,no,True,False,True,False,False,True,False,False,False,False
40,219,no,True,False,True,False,False,True,False,False,False,False
43,2767,no,True,False,False,True,False,True,False,False,False,False
40,1269,no,True,False,True,False,False,True,False,False,False,False
56,1150,no,True,False,True,False,False,False,True,False,False,False
37,5115,yes,True,False,True,False,False,True,False,False,False,False
56,1092,no,False,True,False,True,False,True,True,False,False,False
37,121,no,True,False,True,False,False,False,True,False,False,False
